Matched Name,dept_url,url,name,age,tour,badge,cause,weapon,incident_description,bio_section_raw,incident_details_raw
Sergeant Brian LaVigne,https://www.odmp.org/agency/1684-hillsborough-county-sheriffs-office-florida,https://www.odmp.org/officer/25051-sergeant-brian-roy-lavigne,Sergeant Brian Roy LaVigne,54,33 years,Not available,Vehicular assault,Automobile,"BRIAN ROY LAVIGNE Sergeant Brian LaVigne was killed when his patrol car was intentionally rammed by another vehicle on West Lumsden Road, near South King's Avenue, in Brandon. Deputies had responded to an apartment complex nearby after a man started throwing furniture and clothing off his balcony. A short time later, the man disrobed and started throwing food at neighbors. The man attacked responding deputies, striking one of them multiple times in the head. Attempts to stop the attack with electric control weapons failed. The subject broke free, got into a car, and drove through a closed gate. The man intentionally drove across multiple lanes of traffic and struck Sergeant LaVigne's patrol car on the driver's door at a high rate of speed. Deputies were unable to free Sergeant LaVigne, and he had to be extricated by rescue units. He was transported to Tampa General Hospital, where he succumbed to his injuries. The subject was arrested following the collision. In 2025, he pleaded guilty and was sentenced to 45 years. Sergeant LaVigne had served with the Hillsborough County Sheriff's Office for thirty years and was killed the day before his last scheduled shift before retirement. He previously served with the Largo Police Department prior to joining the Hillsborough County Sheriff's Office. He is survived by his wife and two children. His daughter became a deputy with the Hillsborough County Sheriff's Office. Sergeant Lavigne was posthumously promoted from Master Corporal to Sergeant.","BIO Age 54 Tour 33 years Badge Not available INCIDENT DETAILS Cause Vehicular assault Weapon Automobile Offender Sentenced to 45 years EDP, Impaired Driver, Vehicle Crash Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Vehicular assault Weapon Automobile Offender Sentenced to 45 years
Deputy Sheriff David Anthony Abella,https://www.odmp.org/agency/1684-hillsborough-county-sheriffs-office-florida,https://www.odmp.org/officer/17286-deputy-sheriff-david-anthony-abella,Deputy Sheriff David Anthony Abella,26,1 year,4234,Automobile crash,,"DAVID ANTHONY ABELLA Deputy Sheriff David Abella was killed in an automobile collision on 50th Street, near Causeway Boulevard while responding to a trespassing call at a local convenience store. He was attempting to pass a slow-moving tractor-trailer when he lost control of his patrol car and struck a utility pole. The deputy was transported to a local hospital where he was pronounced dead. Deputy Abella was a United States Coast Guard Persian Gulf veteran and had served with the Hillsborough County Sheriff's Office for one year. He is survived by his wife, three children, parents, brother, and sister.","BIO Age 26 Tour 1 year Badge 4234 Military Veteran INCIDENT DETAILS Cause Automobile crash Emergency Response, Single Vehicle Crash, Trespasser Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Automobile crash
Deputy Sheriff Michael Hartwick,https://www.odmp.org/agency/2105-lee-county-sheriffs-office-florida,https://www.odmp.org/officer/15864-deputy-sheriff-michael-shostak,Deputy Sheriff Michael Shostak,28,6 years,99032,Automobile crash,,"MICHAEL SHOSTAK Deputy Michael Shostak succumbed to injuries received two weeks earlier in an automobile accident. On the night of the incident, his shift was scheduled to end 13 minutes later, at 0300 hours, when he lost control of his patrol car at 0247 hours and struck a utility pole. Deputy Shostak had been employed with the Lee County Sheriff's Office for two years, and had been in law enforcement for six years. He is survived by his wife and 2-year-old daughter.","BIO Age 28 Tour 6 years Badge 99032 INCIDENT DETAILS Cause Automobile crash Incident Date Thursday, October 25, 2001 Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs","INCIDENT DETAILS Cause Automobile crash Incident Date Thursday, October 25, 2001"
Corporal James McWhorter,https://www.odmp.org/agency/1275-florida-department-of-agriculture-and-consumer-services-office-of-agricultural-law-enforcement-florida,https://www.odmp.org/officer/25942-corporal-james-michael-mcwhorter,Corporal James Michael McWhorter,31,"2 years, 6 months",Not available,Automobile crash,,"JAMES MICHAEL MCWHORTER Corporal James McWhorter was killed in a vehicle crash near the Agricultural Inspection Station on I-95 in Yulee, Florida. He was crossing from the northbound inspection station to the southbound inspection station when his vehicle was struck by an oncoming pickup truck at about 8:30 pm. All of the occupants of the truck suffered non-fatal injuries. Corporal McWhorter had served with the Florida Department of Agriculture and Consumer Services - Office of Agricultural Law Enforcement for 2-1/2 years. He is survived by his four children, parents, three brothers, two sisters, and fiancée. Corporal McWhorter was posthumously promoted to Corporal.","BIO Age 31 Tour 2 years, 6 months Badge Not available INCIDENT DETAILS Cause Automobile crash Routine Driving Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Automobile crash
Wesley L. Silas,https://www.odmp.org/agency/1275-florida-department-of-agriculture-and-consumer-services-office-of-agricultural-law-enforcement-florida,https://www.odmp.org/officer/986-officer-wesley-l-silas,Officer Wesley L. Silas,42,12 years,Not available,Struck by vehicle,,"WESLEY L. SILAS Officer Wesley Silas was killed after being struck by a tractor-trailer at the Agricultural Inspection Station on I-10 near Live Oak, Florida. He had stopped the truck for inspection and had just completed his paperwork, noting several suspicious items on the truck's registration. After returning the registration to the driver he walked in front of the truck to return to the inspection station when the driver began to drive forward, striking Officer Silas. The driver claimed he did not see Officer Silas walk in front of the truck. Due to a lack of evidence, no charges were ever filed against the trucker, and Officer Silas' death was ruled accidental. Officer Silas had served with the Florida Department of Agriculture and Consumer Services - Office of Agricultural Law Enforcement for 12 years. He was survived by his mother, sister, and brother.",BIO Age 42 Tour 12 years Badge Not available INCIDENT DETAILS Cause Struck by vehicle Inspection Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Struck by vehicle
Officer Scott Eric Bell,https://www.odmp.org/agency/1852-jacksonville-sheriffs-office-florida,https://www.odmp.org/officer/19030-officer-scott-eric-bell,Officer Scott Eric Bell,50,7 years,7872,Vehicular assault,Automobile; Alcohol involved,"SCOTT ERIC BELL Officer Scott Bell was killed when a vehicle being operated by an intoxicated driver pulled out in front of his patrol car. The officer was returning from a call on Heckscher Drive when a van traveling on New Berlin Road collided with his cruiser. Officer Bell's vehicle spun out of control and hit a power pole and burst into flames. The suspect pleaded guilty to manslaughter on September 5, 2008, and was sentenced to three years probation and one year in the county jail. Officer Bell was a U.S. Navy veteran and had served with the Jacksonville Sheriff's Office for 7 years. He is survived by his wife, mother, and brother.",BIO Age 50 Tour 7 years Badge 7872 Military Veteran INCIDENT DETAILS Cause Vehicular assault Weapon Automobile; Alcohol involved Offender Convicted of manslaughter Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Vehicular assault Weapon Automobile; Alcohol involved Offender Convicted of manslaughter
Officer Lance Christian Whitaker,https://www.odmp.org/agency/1852-jacksonville-sheriffs-office-florida,https://www.odmp.org/officer/23677-police-officer-lance-christian-whitaker,Police Officer Lance Christian Whitaker,48,18 years,7656,Automobile crash,,"LANCE CHRISTIAN WHITAKER Police Officer Lance Whitaker was killed in a single-vehicle crash on northbound I-295, near Alta Drive, at approximately 4:30 a.m. He was responding to another accident scene on the interstate when his vehicle left the roadway and struck a tree. Officer Whitaker served more than 17 years with the Jacksonville Sheriff’s Office. He is survived by his teenage son, fiancee and her three children. In December 2019, I-295 between Pulaski and Alta was renamed to Officer Lance Christian Waller Highway.",BIO Age 48 Tour 18 years Badge 7656 INCIDENT DETAILS Cause Automobile crash Accident Scene Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Automobile crash
Officer Christopher Michael Kane,https://www.odmp.org/agency/1852-jacksonville-sheriffs-office-florida,https://www.odmp.org/officer/19540-officer-christopher-michael-kane,Officer Christopher Michael Kane,38,12 years,5667,Automobile crash,,CHRISTOPHER MICHAEL KANE Officer Christopher Kane was killed in an automobile accident in a construction zone on Route 9A. He had finished speaking with an off duty officer working at the construction zone when his patrol car collided with the back of a semi that was carrying construction equipment. Officer Kane had served with the Jacksonville Sheriff's Office for 12 years. He is survived by his wife and two children.,BIO Age 38 Tour 12 years Badge 5667 INCIDENT DETAILS Cause Automobile crash Automobile Accident Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Automobile crash
Ponce de Leon,https://www.odmp.org/agency/3780-tallahassee-police-department-florida,https://www.odmp.org/officer/10747-police-officer-ernest-kearns-ponce-de-leon,Police Officer Ernest Kearns Ponce de Leon,40,Not available,647,Gunfire,Handgun,"ERNEST KEARNS PONCE DE LEON Police Officer Ernest Ponce de Leon was shot and killed while assisting another officer during a suspicious vehicle call at the intersection of Levy Avenue and Lake Bradford Road. The occupants of the vehicle had claimed that their identification was packed in luggage in the trunk. One of the occupants was accompanied by the other officer to the trunk while Officer Ponce de Leon covered them. Suddenly two of the men pulled out handguns and opened fire, striking Officer Ponce de Leon, who was not wearing a vest, in the chest. One of the suspects was shot and wounded by the other officer. All of the suspects were apprehended as backup officers arrived on the scene. It was learned that the suspects had escaped from the Maryland Department of Corrections several days prior. The 33-year-old suspect who shot Officer Ponce de Leon was sentenced to death and the others were sentenced to lengthy prison terms. The suspect sentenced to death died in prison on October 27th, 2015, of natural causes. Officer Ponce de Leon was survived by his son and daughter.","BIO Age 40 Tour Not available Badge 647 INCIDENT DETAILS Cause Gunfire Weapon Handgun Offender Died in prison Escapee, Suspicious Vehicle Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Gunfire Weapon Handgun Offender Died in prison
Officer Jesse Madsen,https://www.odmp.org/agency/3785-tampa-police-department-florida,https://www.odmp.org/officer/25185-officer-jesse-peter-madsen,Officer Jesse Peter Madsen,45,16 years,507,Vehicular assault,Automobile,"JESSE PETER MADSEN Police Officer Jesse Madsen was killed when his patrol car was struck head-on by a wrong-way driver on I-275, near Hillsborough Avenue, just before 1:00 am. He was responding to reports of a vehicle driving in the wrong direction when he was struck by the car. A witness driving behind Officer Madsen stated that he intentionally collided with the oncoming car to keep it from striking other vehicles. Officer Madsen and the other driver were both killed in the impact. Officer Madsen was a U.S Marine Corps veteran and had served with the Tampa Police Department for 16 years. He is survived by his wife and three children.",BIO Age 45 Tour 16 years Badge 507 Military Veteran INCIDENT DETAILS Cause Vehicular assault Weapon Automobile Offender Not available Wrong-Way Driver Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Vehicular assault Weapon Automobile Offender Not available
Officer James Ronco,https://www.odmp.org/agency/3785-tampa-police-department-florida,https://www.odmp.org/officer/11486-police-officer-james-ronco,Police Officer James Ronco,34,Not available,Not available,Gunfire,Officer's handgun,JAMES RONCO Officer Ronco was shot and killed by a female prisoner who had just escaped from the police station. While he was transporting her back to jail she grabbed his gun and shot him twice. He was able to regain control of the weapon and shot and killed the suspect as well. It was determined that the suspect was under the influence of heroin and cocaine.,BIO Age 34 Tour Not available Badge Not available INCIDENT DETAILS Cause Gunfire Weapon Officer's handgun Offender Shot and killed Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Gunfire Weapon Officer's handgun Offender Shot and killed
Officer Jeffery A. Kocab,https://www.odmp.org/agency/3785-tampa-police-department-florida,https://www.odmp.org/officer/20441-officer-jeffrey-alan-kocab,Officer Jeffrey Alan Kocab,31,"1 year, 2 months",302,Gunfire,Gun; Unknown type,"JEFFREY ALAN KOCAB Officer Jeffrey Kocab and Officer David Curtis were shot and killed while attempting to make an arrest during a traffic stop at Martin Luther King Jr. Boulevard and 50th Street. Officer Curtis stopped a vehicle because it did not have a visible license plate. He called for an additional unit to assist him because a male passenger in the car was wanted on a misdemeanor charge for writing a worthless check. When Officer Kocab arrived, he and Officer Curtis attempted to arrest the suspect. The suspect drew a weapon and shot both officers at close range. A witness called 911 to report the shooting. Officer Kocab died shortly after arriving at the hospital, and Officer Curtis was pronounced dead a few hours later. The suspect surrendered and was taken into custody four days later. The suspect was charged with five counts of first-degree murder when it was determined he had committed three other murders in Tampa. On November 15th, 2013, the subject was convicted of murdering both officers, and the jury subsequently recommended he receive the death penalty. He was formally sentenced to death on May 30th, 2014. Officer Kocab served with the Tampa Police Department for 14 months and had previously served with the Plant City Police Department. He is survived by his expectant wife. He is buried in Myrtle Hill Memorial Park, Tampa, Florida.","BIO Age 31 Tour 1 year, 2 months Badge 302 INCIDENT DETAILS Cause Gunfire Weapon Gun; Unknown type Offender Sentenced to death Traffic Stop, Warrant Service Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Gunfire Weapon Gun; Unknown type Offender Sentenced to death
Corporal Michael Joseph Roberts,https://www.odmp.org/agency/3785-tampa-police-department-florida,https://www.odmp.org/officer/20042-corporal-michael-joseph-roberts,Corporal Michael Joseph Roberts,38,11 years,12,Gunfire,Handgun,"MICHAEL JOSEPH ROBERTS Corporal Mike Roberts was shot and killed while investigating a suspicious person at the intersection of Nebraska and East Arctic Street in the Sulphur Springs area of the city. He noticed the man pushing a shopping cart along the roadway and stopped to question him. During the questioning, the man began to struggle with Corporal Roberts. The suspect produced a handgun and struck Corporal Roberts several times before shooting him once the chest. The round struck him in an area not protected by his vest. Corporal Roberts' sergeant pulled up as the man began to flee. The man then pulled an AR-15 rifle from his shopping basket, pointed it at the sergeant, and then fled on foot. The sergeant then provided aid to Corporal Roberts by calling for backup. Officers from Corporal Roberts' squad performed CPR until the paramedics arrived, and he was transported to Tampa General Hospital, where he succumbed to his wounds. The suspect, a former U.S. Virgin Islands police officer, surrendered a short time later after being located by a canine unit. He was armed with three handguns and a rifle when he was taken into custody. On November 15, 2011, the suspect was convicted of first-degree murder in connection with Officer Roberts' murder and was sentenced to death on February 10, 2012. The Florida Supreme Court later reduced the sentence to life without parole. Corporal Roberts was a United States Army veteran of the Persia Gulf War who had served with the Tampa Police Department for 11 years. He is survived by his wife and 3-year-old son.",BIO Age 38 Tour 11 years Badge 12 Military Veteran INCIDENT DETAILS Cause Gunfire Weapon Handgun Offender Sentenced to life Suspicious Person Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Gunfire Weapon Handgun Offender Sentenced to life
Deputy Sheriff Michael Hartwick,https://www.odmp.org/agency/6981-pinellas-county-sheriffs-office-florida,https://www.odmp.org/officer/26387-deputy-sheriff-michael-hartwick,Deputy Sheriff Michael Hartwick,51,19 years,Not available,Vehicular assault,Automobile; Commercial,"MICHAEL HARTWICK Deputy Sheriff Michael Hartwick succumbed to injuries received when he was struck by a front-end loader truck at I-275 and Ulmerton Road, near the Howard Frankland Bridge at 10:30 pm. Deputy Hartwick was working an overnight assignment directing traffic for construction work on the I-275. He was outside his cruiser when the front-end loader carrying concrete barriers hit him. The construction worker fled the scene but was apprehended 10 hours later. Another construction worker who helped the subject hide his work vest and flee was charged with accessory after the fact. Deputy Hartwick had served with the Pinellas County Sheriff's Office for 19 years. He is survived by his two sons and mother.","BIO Age 51 Tour 19 years Badge Not available INCIDENT DETAILS Cause Vehicular assault Weapon Automobile; Commercial Offender Apprehended Directing Traffic, Hit-And-Run, Illegal Alien, Overtime Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Vehicular assault Weapon Automobile; Commercial Offender Apprehended
"Sergeant Richard Sam Howard, III",https://www.odmp.org/agency/2001-kissimmee-police-department-florida,https://www.odmp.org/officer/23371-sergeant-richard-samuel-howard-iii,"Sergeant Richard Samuel Howard, III",36,10 years,Not available,Gunfire,Handgun,"RICHARD SAMUEL HOWARD, III Sergeant Sam Howard and Police Officer Matthew Baxter were shot and killed while responding to reports of three suspicious people in the area of Palmway Street and Cypress Street at approximately 9:30 pm. They were speaking to the men when a scuffle ensued, and both officers were shot. Both were transported to Osceola Regional Medical Center, where Officer Baxter was pronounced dead. Sergeant Howard passed away the following afternoon. The subject who shot him was arrested approximately two hours after the shooting by the Osceola County Sheriff's Office members. Two handguns were found in his possession when he was arrested. In September 2019, the man was convicted of two counts of first-degree murder, and in November 2019, the jury recommended he receive the death penalty. In 2022, a judge sentenced the subject to the death penalty. Sergeant Howard was a U.S Army veteran and had served with the Kissimmee Police Department for 10 years. He is survived by his wife and one child.","BIO Age 36 Tour 10 years Badge Not available Military Veteran INCIDENT DETAILS Cause Gunfire Incident Date Friday, August 18, 2017 Weapon Handgun Offender Sentenced to death Suspicious Person Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs","INCIDENT DETAILS Cause Gunfire Incident Date Friday, August 18, 2017 Weapon Handgun Offender Sentenced to death"
Kyle Lee Patterson,https://www.odmp.org/agency/1280-florida-fish-and-wildlife-conservation-commission-florida,https://www.odmp.org/officer/26209-senior-investigator-kyle-lee-patterson,Senior Investigator Kyle Lee Patterson,35,15 years,Not available,Automobile crash,,"KYLE LEE PATTERSON Senior Investigator Kyle Patterson succumbed to injuries sustained in a head-on collision on Okeechobee Road, near South Header Canal Road, in Fort Pierce. A driver was traveling eastbound in the westbound lanes when they crashed into Investigator Patterson's Florida Fish and Wildlife Conservation Commission truck at about 12:00 pm. The driver of the other vehicle was also killed. Investigator Patterson was airlifted to the hospital where he succumbed to injuries. Investigator Patterson had served with the Florida Fish and Wildlife Conservation Commission for 15 years. He is survived by his wife and young children.","BIO Age 35 Tour 15 years Badge Not available INCIDENT DETAILS Cause Automobile crash Routine Driving, Wrong-Way Driver Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Automobile crash
Lieutenant Debra Clayton,https://www.odmp.org/agency/2947-orlando-police-department-florida,https://www.odmp.org/officer/23085-lieutenant-debra-lucinda-clayton,Lieutenant Debra Lucinda Clayton,42,17 years,9,Gunfire,Handgun,"DEBRA LUCINDA CLAYTON Lieutenant Debra Clayton was shot and killed when she encountered a wanted murder suspect in the parking lot of a Walmart at the intersection of Princeton Street and John Young Parkway. A citizen approached Lieutenant Clayton in the parking lot and informed her that a wanted subject was inside the store. As she walked towards the building the man exited and opened fire on her, striking her multiple times. The subject was wanted for murdering his pregnant ex-girlfriend and for shooting her brother one month prior. After shooting Lieutenant Clayton, the man carjacked a vehicle and fled the scene. A captain from the Orange County Sheriff's Office spotted the vehicle moments later and was shot at as he got behind it. The subject was captured on January 17th, 2017. The man was convicted of first-degree murder in November 2021 and was subsequently sentenced to death in March 2022. During the ensuing search Deputy First Class Norman Lewis, of the Orange County Sheriff's Office, was killed in a motorcycle crash at the intersection of Pine Hills Road and Balboa Drive when another vehicle turned in front of his motorcycle. Lieutenant Clayton had served with the Orlando Police Department for 17 years. She is survived by her husband and son. She was posthumously promoted from the rank of Master Sergeant to the rank of Lieutenant.",BIO Age 42 Tour 17 years Badge 9 INCIDENT DETAILS Cause Gunfire Weapon Handgun Offender Sentenced to death Murder Suspect Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Gunfire Weapon Handgun Offender Sentenced to death
Kevin John Fischer,https://www.odmp.org/agency/3622-south-miami-police-department-florida,https://www.odmp.org/officer/15142-police-officer-kevin-john-fischer,Police Officer Kevin John Fischer,30,4 years,120,Struck by vehicle,,"KEVIN JOHN FISCHER Police Officer Fischer was struck and killed by a pickup truck while investigating the scene of an earlier crash on I-95 at Route 92 involving a Volusia County deputy sheriff. While Officer Fischer was standing next to his motorcycle, a pickup truck drifted onto the shoulder and struck him and the motorcycle, throwing him down a 5-foot embankment. He was pronounced dead at the scene. The deputy involved in the initial crash and a Florida Highway Patrol trooper were also injured in the incident. Officer Fischer had served with the Daytona Beach Police Department for four years. He is survived by his expectant wife, who gave birth to a boy.","BIO Age 30 Tour 4 years Badge 120 INCIDENT DETAILS Cause Struck by vehicle Accident Investigation, Motor Officer Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Struck by vehicle
Deputy Renee Danell Azure,https://www.odmp.org/agency/3930-union-county-sheriffs-office-florida,https://www.odmp.org/officer/16346-deputy-sheriff-renee-danell-azure,Deputy Sheriff Renee Danell Azure,23,2 years,63-14,Automobile crash,,"RENEE DANELL AZURE Deputy Sheriff Renee Azure was killed in an automobile crash while responding to a burglar alarm in Raiford at 12:20 am. During the response, her patrol car went out of control on SR-121 just north of Lake Butler and struck several trees. Deputy Azure was thrown from the patrol car and died at the scene. Deputy Azure had served with the Union County Sheriff's Office for five months, was their first female deputy, and had been in law enforcement for two years. She is survived by her 3-year-old daughter, parents, and sister.","BIO Age 23 Tour 2 years Badge 63-14 INCIDENT DETAILS Cause Automobile crash Burglary, Emergency Response Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Automobile crash
William Hamilton Rutherford,https://www.odmp.org/agency/2346-marion-county-sheriffs-office-florida,https://www.odmp.org/officer/3-deputy-sheriff-william-hamilton-rutherford,Deputy Sheriff William Hamilton Rutherford,23,3 years,Not available,Vehicular assault,Automobile; Alcohol involved,"WILLIAM HAMILTON RUTHERFORD Deputy Bill Rutherford succumbed to injuries received when his patrol car was struck by a drunk driver on State Road 200 near the entrance of Central Florida Community College at 12:30 am. Deputy Rutherford was traveling westbound when the driver crossed the center line and hit him head-on. He was transported to Munroe Regional Medical Center, where he died that afternoon. The drunk driver was also killed in the crash. The driver's passenger was treated and released. Deputy Rutherford had served with the Marion County Sheriff's Office for three years. He was survived by his wife The US 441 between Country Road 475 and County Road 328 was renamed Deputy William Hamilton Rutherford.","BIO Age 23 Tour 3 years Badge Not available INCIDENT DETAILS Cause Vehicular assault Weapon Automobile; Alcohol involved Offender Not available Impaired Driver, Routine Driving Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Vehicular assault Weapon Automobile; Alcohol involved Offender Not available
Ray Charles,https://www.odmp.org/agency/5746-okaloosa-county-sheriffs-office-florida,https://www.odmp.org/officer/26537-corporal-ray-charles-hamilton,Corporal Ray Charles Hamilton,34,5 years,119,Gunfire,Gun; Unknown type,"RAY CHARLES HAMILTON Corporal Ray Hamilton was shot and killed during a barricade at the 710 block of North Park Boulevard in Wright. Deputies had responded to the apartment at about 9:00 am to investigate a domestic assault that had occurred the previous night. The suspect refused to exit the home, and the Okaloosa County Sheriff's Office Special Response Team responded to the scene. The man fired out of a window at about 12:40 pm, striking Corporal Hamilton. Corporal Hamilton was transported to Fort Walton Beach - Destin Hospital, where he succumbed to his wounds several hours later. The subject was charged with premeditated first-degree murder. Corporal Hamilton had served with the Okaloosa County Sheriff's Office for five years. He is survived by his wife, brother, and two sisters.","BIO Age 34 Tour 5 years Badge 119 INCIDENT DETAILS Cause Gunfire Weapon Gun; Unknown type Offender Shot and wounded Barricade, Domestic, Swat Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Gunfire Weapon Gun; Unknown type Offender Shot and wounded
Constable Arthur Fleece Crenshaw,https://www.odmp.org/agency/3033-pasco-county-sheriffs-office-florida,https://www.odmp.org/officer/3610-constable-arthur-fleece-crenshaw,Constable Arthur Fleece Crenshaw,32,Not available,Not available,Gunfire,Shotgun,"ARTHUR FLEECE CRENSHAW Constable Arthur Crenshaw and Federal Prohibition Agent John Waters, of the United States Treasury Department, were shot and killed while investigating illegal stills in Pasco County, Florida. They were shot from ambush as they sat in their car. Six men, five of them brothers, were arrested and charged with both murders. All were tried, but none were convicted. One was shot and killed on February 24th, 1925, by officers raiding a liquor still near the site where Constable Crenshaw and Agent Waters were killed. Constable Crenshaw was survived by his wife, son, mother, and brother. He is buried in Trilby Cemetery, Trilby, Pasco County, Florida.","BIO Age 32 Tour Not available Badge Not available INCIDENT DETAILS Cause Gunfire Weapon Shotgun Offender Apprehended Alcohol Violation, Ambush Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Gunfire Weapon Shotgun Offender Apprehended
