OBJECTID,Name,Description,Rule_,Index_,Title72,Chapter4,Part2,Section,UtahCode,Shape__Length
1,Ram Boulevard,There is established Ram Boulevard comprising a section of Route 118 in Monroe from 1450 West along 100 South to Main Street.,"Enacted by Chapter 77, 2001 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 205,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,3027.9601874325
2,Mike Dmitrich Highway,There is established the Mike Dmitrich Highway composed of the existing Highway 6 from Interstate 15 to Interstate 70.,"Enacted by Chapter 375, 2009 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 211,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,265585.433089067
3,Pete Suazo Memorial Highway,There is established the Pete Suazo Memorial Highway composed of the existing Route 68 in Salt Lake City from 2100 South to 1700 North.,"Enacted by Chapter 92, 2010 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 212,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,11989.7070213365
4,Pioneer Trail Memorial Highway,"There is established the Pioneer Trail Memorial Highway comprising the existing highways beginning at the junction of Route 84 and Route 65 and proceeding southwesterly on Route 65 to the junction of Route 65 and Emigration Canyon Road; then beginning again in Salt Lake City at the junction of Route 186 and Sunnyside Avenue and proceeding westerly on Route 186 to Interstate Route 15.","Enacted by Chapter 301, 2010 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 213,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,68029.3440794284
5,Dinosaur Diamond Prehistoric Highway,"There is established the Dinosaur Diamond Prehistoric Highway comprising the existing highways beginning on Route 191 in Blanding north to the frontage road of Route 70 at Crescent Junction, then west on the frontage road of Route 70 to Green River, then northerly on Route 191 and Route 6 to Route 10 near Price, then: south on Route 10 to Castle Dale, then North on Route 10 to Route 155, then south on Route 155 to the Cleveland Lloyd Dinosaur Quarry via its access road; and northerly on Route 191 and Route 6 to Helper and the State of Utah Indian Canyon Scenic Byway, then northeasterly on Route 191 to Route 40 in Duchesne, then east on Route 40 and Route 191 to Vernal, and then east on Route 40 to Route 149, then northeasterly on Route 149 to the Dinosaur National Monument, then southwesterly on Route 149 to Route 40, then east on Route 40 to the Utah and Colorado state boundary line.","Enacted by Chapter 214, 1998 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 204,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,811659.890001707
6,I-15 designated as Veterans' Memorial Highway,There is established the Veterans' Memorial Highway composed of the existing Interstate Highway 15 from the Utah-Idaho border to the Utah-Arizona border.,"Renumbered and Amended by Chapter 270, 1998 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 201,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,837521.05467189
7,The Purple Heart Trail,"There is established the Purple Heart Trail comprising Route 80, which is also known as Interstate 80, the Dwight D. Eisenhower Highway, beginning at the Nevada-Utah state line in Wendover, east to the Wyoming-Utah state line west of Evanston, Wyoming.","Enacted by Chapter 164, 2002 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 207,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,413983.804750029
8,Legacy Loop Highway,"There is established the Legacy Loop Highway comprising the existing highway from Route 15 south of St. George, northerly on Route 18 to Route 56 at Beryl Junction, then easterly on Route 56 to Route 130 in Cedar City, and then northeasterly on Route 130 and county routes 1788 and 1786 to Route 143 in Parowan.","Renumbered and Amended by Chapter 270, 1998 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 202,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,216602.633318583
9,Utah National Parks Highway,"There is established the Utah National Parks Highway comprising the existing highway from Route 89 at the Utah-Arizona border near Big Water westerly on Route 89 to Route 9 near Mount Carmel Junction then westerly on Route 9 to Route 17 near La Verkin then northerly on Route 17 to Interstate Highway 15 then northerly on Interstate Highway 15 frontage roads, the Veterans' Memorial Highway, to Route 14 near Cedar City then southeasterly on Route 14 to Route 148 near Cedar Breaks National Monument then northerly on Route 148 to Route 143 near the north end of Cedar Breaks National Monument then northeasterly on Route 143 to Route 89 near Panguitch then southerly on Route 89 to Route 12 near Red Canyon then northeasterly on Route 12, the Clem Church Memorial Highway, to Route 24 near Torrey then easterly on Route 24 to Route 95 near Hanksville then southeasterly on Route 95, the Bicentennial Highway, to Route 191 near Blanding then northerly on Route 191 to the junction with Interstate Highway 70 near Crescent Junction.","Renumbered and Amended by Chapter 270, 1998 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 203,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,1313850.63316253
11,Tenth Mountain Division Memorial Highway,There is established the Tenth Mountain Division Memorial Highway composed of the existing Route 224 from Kimball Junction southeasterly to the junction with Route 248 in Park City.,"Enacted by Chapter 153, 2002 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 201.5,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,11886.2892483403
12,The Utah Fruitway,There is established the Utah Fruitway comprising a section of Route 89 beginning at the Box Elder and Weber County line north to the south city limit of Brigham City.,"Enacted by Chapter 66, 2002 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 206,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,22898.3082126059
13,K. Gunn McKay Highway,There is established the K. Gunn McKay Highway comprising a section of Route 39 beginning in Ogden at the junction with Harrison Boulevard east to the junction with Huntsville First Street.,"Enacted by Chapter 87, 2006 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 210,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,24873.6066111585
14,James V. Hansen Highway,"There is established the James V. Hansen Highway comprising a section of Route 89 beginning in Farmington at the Route 89 and Interstate Highway 15 interchange north to Route 203, Harrison Boulevard in South Ogden.","Enacted by Chapter 130, 2003 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 208,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,27389.6577892455
15,Mormon Pioneer Heritage Area,There is established a state heritage area known as the Mormon Pioneer Heritage Area comprising a section of Route 89 beginning in Fairview to Kanab and including the Boulder Loop in Garfield and Wayne Counties.,"Enacted by Chapter 127, 2004 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 209,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,767823.436710098
16,Cory B. Wride Memorial Highway,There is established the Cory B. Wride Memorial Highway composed of the existing Route 73 from Route 68 westerly to the Tooele County line.,"Enacted by Chapter 204, 2014 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 214,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,43927.9696022693
17,Vietnam Veterans Memorial Highway,There is established the Vietnam Veterans Memorial Highway composed of the existing portions of Interstate 84 located within the state.,"Enacted by Chapter 309, 2015 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 215,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,175231.714710442
51,Minuteman Highway,There is established the Minuteman Highway composed of the existing Highway 85 in Salt Lake County from Porter Rockwell Boulevard to 7800 South in West Jordan.,"Enacted by Chapter 82, 2017 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 217,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,25347.4365422971
53,Chief Special Warfare Operator (SEAL) Jason R. Workman Memorial Bridge,There is established the Chief Special Warfare Operator (SEAL) Jason R. Workman Memorial Bridge spanning the San Juan River on Route 163 in Mexican Hat,"Enacted by Chapter 79, 2016 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 216,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,95.3936960628206
54,Navajo Code Talker Highway,"There is established the Navajo Code Talker Highway composed of the existing Highway 162 in San Juan County from the Utah-Colorado border near Aneth to Bluff, then Highway 191 and Highway 163 southwest through Mexican Hat to the Utah-Arizona border near Monument Valley.","Enacted by Chapter 82, 2019 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 218,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,157900.005897362
55,Grand Army of the Republic Highway,There is established the Grand Army of the Republic Highway composed of the existing Highway 6 within the state.,"Enacted by Chapter 209, 2019 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 219,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,779761.396232832
57,Golden Spike/Lincoln Memorial Highway,"There is established the Golden Spike/Lincoln Memorial Highway comprising a 31 section of Route 13 beginning in Brigham City at the Route 13 and Interstate Highway 15 32 interchange westerly to the Route 13, Route 83, and 4800 West intersection in Corrine, then a 33 section of Route 83 beginning in Corrine at the Route 13, Route 83, and 4800 West 34 intersection westerly to the Route 83 and Golden Spike Drive intersection.",2023 General Session,Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 220,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,43569.4667134487
59,Jake Garn Legacy Highway,There is established the Jake Garn Legacy Highway comprising a section of Route 40 from I-80 southerly to Route 32.,"Enacted by Chapter 435, 2024 General Session",Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 221,http://le.utah.gov/xcode/Title72/Chapter4/72-4-P2.html,27773.0036998271
60,Borgstrom Brothers Memorial Highway,There is established the Borgstrom Brothers Memorial Highway composed of the existing Route 102.,,Utah Code,Transportation Code,Designation of State Highways Act,Special Designations,Section 223,,43291.0537560764
