GEOID,County,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,StateFIPS,CountyFIPS
48001,"Anderson County, Texas",39.5,58846,173400,16.3,0.5,2.5,0.0,80.7,55.8,18.2,3.9,14.5,86.0,5.3,17.1,48,001
48003,"Andrews County, Texas",33.1,76902,188200,52.6,0.3,3.9,0.0,43.2,39.5,1.9,1.1,19.9,76.9,2.3,14.2,48,003
48005,"Angelina County, Texas",37.8,58847,149800,20.2,0.4,2.5,0.0,76.8,59.0,12.2,4.7,18.0,84.9,5.4,16.3,48,005
48007,"Aransas County, Texas",51.0,61754,236800,24.0,0.1,2.6,0.1,73.2,67.6,1.1,2.7,27.6,91.4,6.2,18.7,48,007
48009,"Archer County, Texas",43.1,71958,175300,7.6,0.3,1.1,0.1,91.0,86.4,0.8,3.0,25.2,91.0,3.4,11.7,48,009
48011,"Armstrong County, Texas",43.0,68462,185700,7.8,0.0,1.8,0.0,90.4,86.1,0.5,1.2,21.4,94.0,0.9,5.8,48,011
48013,"Atascosa County, Texas",36.1,69413,157400,58.9,0.5,5.2,0.2,35.3,31.8,1.2,1.9,15.3,80.9,4.5,16.1,48,013
48015,"Austin County, Texas",41.6,75994,270900,23.7,0.5,2.5,0.5,72.8,60.9,8.8,1.1,23.4,88.5,4.2,14.5,48,015
48017,"Bailey County, Texas",35.1,70625,104400,58.7,0.1,5.6,0.2,35.4,31.3,0.4,0.0,16.7,71.9,0.5,13.6,48,017
48019,"Bandera County, Texas",53.4,69703,249800,15.5,0.6,4.1,0.0,79.8,73.9,1.1,2.5,25.5,91.9,7.4,16.1,48,019
48021,"Bastrop County, Texas",37.5,82730,269500,36.0,0.9,7.0,0.1,56.0,45.7,5.7,3.6,23.3,81.9,4.6,12.4,48,021
48023,"Baylor County, Texas",47.5,42313,93300,12.3,0.0,1.4,0.0,86.3,75.9,0.8,0.4,28.4,82.5,3.8,20.8,48,023
48025,"Bee County, Texas",35.8,56075,102800,55.6,0.5,5.6,0.1,38.1,27.9,6.0,3.7,11.4,81.6,5.9,17.0,48,025
48027,"Bell County, Texas",32.1,66051,221100,17.1,4.8,3.6,0.3,74.2,43.1,21.6,2.6,27.2,91.0,7.3,14.6,48,027
48029,"Bexar County, Texas",34.6,70571,244100,49.5,1.7,8.0,0.4,40.5,26.7,7.3,2.9,31.5,86.4,5.5,14.7,48,029
48031,"Blanco County, Texas",50.3,87564,396200,16.3,0.1,2.0,0.0,81.6,76.0,0.8,3.1,34.3,92.5,3.5,8.7,48,031
48033,"Borden County, Texas",30.0,64250,105400,15.2,0.0,0.0,0.0,84.8,80.2,1.5,1.4,35.3,94.6,0.3,4.8,48,033
48035,"Bosque County, Texas",46.3,69339,184500,17.5,0.2,1.1,0.0,81.2,75.6,1.2,1.7,20.7,88.2,4.1,9.1,48,035
48037,"Bowie County, Texas",38.4,59295,161300,6.7,0.2,1.5,0.0,91.6,61.6,24.7,1.5,22.1,90.0,3.7,16.3,48,037
48039,"Brazoria County, Texas",36.5,95155,276800,25.6,1.2,4.3,0.2,68.6,42.9,15.5,1.5,32.1,89.2,4.5,7.3,48,039
48041,"Brazos County, Texas",26.8,58388,279700,22.3,0.5,3.8,0.5,72.9,53.5,10.3,1.6,42.5,89.0,4.6,23.9,48,041
48043,"Brewster County, Texas",42.2,52612,216000,34.2,0.4,7.5,0.0,57.9,55.4,0.3,3.2,45.3,90.0,2.2,8.4,48,043
48045,"Briscoe County, Texas",50.8,41188,82900,25.5,0.0,0.7,0.0,73.8,68.7,3.7,0.3,19.0,80.5,0.0,15.3,48,045
48047,"Brooks County, Texas",38.1,31310,82700,82.4,0.0,7.7,0.0,10.0,8.2,0.8,0.1,14.4,67.4,3.5,30.7,48,047
48049,"Brown County, Texas",41.4,55305,149900,19.3,0.3,2.6,0.0,77.8,70.5,3.2,1.6,19.9,87.7,4.8,14.5,48,049
48051,"Burleson County, Texas",44.3,72888,174000,18.4,0.1,3.2,0.1,78.2,63.0,11.6,2.6,23.1,85.1,2.9,12.6,48,051
48053,"Burnet County, Texas",44.9,77158,310500,19.8,0.2,3.1,0.1,76.9,71.3,1.2,2.3,28.7,89.2,2.3,8.0,48,053
48055,"Caldwell County, Texas",38.2,68503,215600,50.9,0.8,4.4,0.1,43.7,35.6,4.1,2.4,16.4,80.3,3.2,13.9,48,055
48057,"Calhoun County, Texas",39.9,71870,150000,41.3,0.5,6.8,0.6,50.7,41.4,2.3,1.4,16.9,82.5,4.5,8.7,48,057
48059,"Callahan County, Texas",43.8,68455,144800,9.9,0.1,0.5,0.0,89.4,82.2,1.7,1.5,23.9,93.1,5.2,10.1,48,059
48061,"Cameron County, Texas",32.4,51334,120000,84.2,0.3,4.6,0.2,10.7,8.8,0.4,1.0,20.6,71.6,5.7,24.4,48,061
48063,"Camp County, Texas",38.7,55061,159900,26.0,0.0,0.7,0.0,73.3,53.4,14.1,2.5,19.7,84.1,5.8,22.4,48,063
48065,"Carson County, Texas",42.3,84583,140600,7.2,0.0,3.0,0.3,89.5,82.3,0.6,2.6,25.9,93.6,1.3,7.2,48,065
48067,"Cass County, Texas",43.8,54328,133500,4.1,0.0,1.0,0.0,94.9,74.8,16.7,1.6,17.6,87.3,6.0,17.3,48,067
48069,"Castro County, Texas",34.9,63485,94900,55.0,0.7,9.6,0.0,34.7,30.0,1.2,1.9,21.0,76.3,2.7,14.0,48,069
48071,"Chambers County, Texas",35.3,108114,289900,21.9,0.2,3.0,0.1,74.7,63.1,7.2,0.8,23.0,89.5,7.3,13.1,48,071
48073,"Cherokee County, Texas",38.2,59830,160300,22.2,0.1,1.4,0.0,76.3,58.8,13.0,2.6,18.5,80.7,6.2,17.9,48,073
48075,"Childress County, Texas",33.6,60333,115100,26.6,0.0,7.4,0.0,66.0,54.1,6.7,2.7,11.5,83.9,0.5,9.8,48,075
48077,"Clay County, Texas",47.8,77355,161300,6.1,0.0,0.6,0.0,93.2,87.6,1.1,2.3,23.9,92.8,1.9,10.4,48,077
48079,"Cochran County, Texas",38.7,42137,57700,55.1,0.0,4.4,0.0,40.4,34.2,5.0,1.3,10.7,71.7,6.2,27.3,48,079
48081,"Coke County, Texas",47.2,46431,112900,17.9,0.0,2.9,0.0,79.2,75.4,1.7,2.4,21.1,87.8,6.0,14.1,48,081
48083,"Coleman County, Texas",48.5,52364,91200,14.6,0.0,1.5,0.0,83.9,77.2,3.9,1.9,17.9,88.6,5.9,15.0,48,083
48085,"Collin County, Texas",37.3,117588,447600,10.8,0.7,4.3,0.2,84.0,51.3,10.6,1.5,54.9,94.5,4.1,6.3,48,085
48087,"Collingsworth County, Texas",38.1,60165,108400,27.0,0.0,5.6,0.0,67.4,53.8,7.9,10.6,26.0,75.4,1.2,26.2,48,087
48089,"Colorado County, Texas",43.8,68554,194000,26.4,0.0,3.6,0.0,70.0,55.4,12.3,1.6,24.0,88.4,3.9,10.7,48,089
48091,"Comal County, Texas",42.0,99015,398800,22.7,0.9,4.0,0.3,72.1,64.9,2.4,1.8,42.2,94.2,3.5,6.4,48,091
48093,"Comanche County, Texas",43.7,59946,137800,27.4,0.0,1.6,0.0,71.0,66.7,0.5,2.8,20.0,84.6,6.7,14.1,48,093
48095,"Concho County, Texas",45.3,59632,105800,20.9,0.0,8.6,1.5,69.0,61.2,3.7,1.3,13.2,79.5,1.0,13.3,48,095
48097,"Cooke County, Texas",40.3,72472,224600,17.8,0.5,2.2,0.0,79.5,71.6,3.3,1.8,23.6,88.4,4.3,14.1,48,097
48099,"Coryell County, Texas",32.4,68904,177400,12.8,3.7,3.4,0.3,79.7,55.2,12.7,5.4,18.7,90.7,6.5,9.9,48,099
48101,"Cottle County, Texas",44.3,58819,54100,21.6,0.0,4.4,0.0,74.0,59.1,4.9,5.6,21.8,79.6,6.4,22.8,48,101
48103,"Crane County, Texas",36.7,59915,119900,66.7,0.0,0.3,1.4,31.6,26.4,1.6,0.8,14.3,75.6,3.7,8.2,48,103
48105,"Crockett County, Texas",42.9,81739,140000,62.3,0.0,0.0,0.0,37.7,37.0,0.6,0.1,11.0,65.8,2.8,3.3,48,105
48107,"Crosby County, Texas",39.3,52197,75500,47.1,0.3,8.1,0.3,44.2,39.0,2.2,1.8,14.1,78.4,6.2,22.1,48,107
48109,"Culberson County, Texas",48.1,42672,84500,79.7,0.0,6.0,1.3,12.9,8.9,0.2,2.8,16.3,73.3,0.6,17.7,48,109
48111,"Dallam County, Texas",30.4,72332,140500,50.4,0.0,2.3,0.0,47.3,42.3,0.2,5.1,15.7,80.7,1.4,10.0,48,111
48113,"Dallas County, Texas",34.0,74149,277900,32.3,0.6,7.5,0.4,59.2,27.1,22.2,2.0,34.8,81.7,4.9,14.0,48,113
48115,"Dawson County, Texas",34.6,55789,90800,51.8,0.1,3.2,0.3,44.6,35.6,6.5,1.8,14.5,72.3,7.9,17.7,48,115
48123,"DeWitt County, Texas",41.8,64014,167200,30.5,0.3,4.5,0.0,64.7,53.7,7.3,2.1,15.7,85.4,4.2,15.9,48,123
48117,"Deaf Smith County, Texas",31.4,54114,116000,70.5,0.7,3.2,1.3,24.3,21.8,0.8,1.9,11.8,71.4,3.3,15.8,48,117
48119,"Delta County, Texas",40.7,62855,149400,8.3,0.2,0.2,0.0,91.3,78.5,8.3,4.5,19.5,90.0,3.3,14.0,48,119
48121,"Denton County, Texas",36.8,108185,403400,14.3,1.1,4.3,0.5,79.7,54.0,10.5,2.1,48.4,93.4,4.0,7.0,48,121
48125,"Dickens County, Texas",45.7,50417,65000,26.0,0.0,8.0,0.0,66.0,63.6,1.5,2.0,19.1,85.0,6.7,14.5,48,125
48127,"Dimmit County, Texas",36.3,33409,80300,79.6,0.0,7.4,0.0,13.0,9.5,0.7,1.9,11.0,74.4,6.8,44.8,48,127
48129,"Donley County, Texas",45.4,56648,90500,10.7,0.7,0.8,0.0,87.8,78.5,5.4,0.5,16.1,83.5,0.0,8.3,48,129
48131,"Duval County, Texas",35.9,50081,86400,77.1,0.1,4.7,0.0,18.2,16.7,0.7,1.3,7.0,73.6,7.9,29.0,48,131
48133,"Eastland County, Texas",42.6,51741,121700,14.3,0.0,2.5,0.0,83.1,77.4,2.2,1.8,22.2,85.0,4.9,14.6,48,133
48135,"Ector County, Texas",31.3,71031,190500,57.1,0.4,3.4,1.4,37.7,30.0,4.7,2.0,16.6,77.6,5.6,15.3,48,135
48137,"Edwards County, Texas",39.6,38500,78300,43.7,0.1,0.1,0.0,56.2,52.9,1.6,1.4,25.9,78.4,0.0,25.3,48,137
48141,"El Paso County, Texas",33.3,58859,167300,77.5,1.0,4.0,0.2,17.3,11.2,2.9,2.0,25.4,80.6,6.2,18.9,48,141
48139,"Ellis County, Texas",36.3,95898,306400,24.0,0.5,2.9,0.3,72.4,54.7,13.2,3.3,28.6,87.6,4.0,8.1,48,139
48143,"Erath County, Texas",31.9,65351,251900,18.9,0.5,2.5,0.1,78.0,72.6,1.4,2.3,32.5,87.1,5.3,15.9,48,143
48145,"Falls County, Texas",41.5,55372,97300,22.8,0.2,1.4,0.0,75.6,50.0,19.8,1.9,15.0,84.9,7.2,14.6,48,145
48147,"Fannin County, Texas",40.7,68377,213500,11.1,0.1,1.3,0.0,87.4,76.1,6.3,3.0,20.2,86.8,4.5,14.2,48,147
48149,"Fayette County, Texas",48.6,76541,271100,21.2,0.0,0.4,0.0,78.4,69.8,5.8,1.2,27.2,90.3,2.9,8.8,48,149
48151,"Fisher County, Texas",42.6,64700,77600,24.7,0.0,1.6,0.0,73.6,65.8,3.8,3.7,18.2,90.3,3.6,10.3,48,151
48153,"Floyd County, Texas",38.5,55461,101000,53.5,0.0,4.1,0.0,42.4,37.3,2.4,1.4,16.7,74.6,3.8,18.1,48,153
48155,"Foard County, Texas",45.7,42212,71400,9.1,0.6,1.2,0.0,89.1,70.0,0.3,4.4,14.5,81.2,6.7,20.9,48,155
48157,"Fort Bend County, Texas",37.1,113409,350300,15.2,0.6,8.1,0.5,75.5,29.8,20.3,1.5,49.3,91.9,5.0,7.2,48,157
48159,"Franklin County, Texas",43.5,66800,213200,13.0,0.0,1.3,0.0,85.7,77.7,5.1,1.3,29.3,90.9,6.4,11.1,48,159
48161,"Freestone County, Texas",41.8,58460,164400,14.7,0.1,2.0,0.1,83.2,63.5,14.7,1.4,15.9,86.6,1.9,14.3,48,161
48163,"Frio County, Texas",31.8,60098,110100,60.8,0.2,15.9,0.7,22.4,15.2,4.2,1.1,11.4,70.6,5.3,19.6,48,163
48165,"Gaines County, Texas",29.3,76605,185300,36.4,0.2,3.2,0.0,60.2,56.9,2.5,0.6,8.1,58.3,2.2,7.4,48,165
48167,"Galveston County, Texas",38.5,85348,284900,19.3,1.0,5.2,0.4,74.1,54.8,12.0,1.8,34.3,89.8,5.5,11.2,48,167
48169,"Garza County, Texas",38.4,50545,79300,43.4,0.5,6.0,0.1,50.0,37.2,10.3,1.3,10.6,68.1,6.9,14.0,48,169
48171,"Gillespie County, Texas",50.5,67799,432300,19.5,0.1,2.7,0.0,77.6,74.2,0.2,2.0,35.3,89.3,3.8,9.5,48,171
48173,"Glasscock County, Texas",40.6,106806,248600,27.1,0.0,0.0,0.0,72.9,66.3,0.0,4.9,39.9,87.6,1.2,8.5,48,173
48175,"Goliad County, Texas",44.8,59556,182800,30.7,0.0,1.5,0.0,67.8,60.4,4.8,1.7,19.0,84.0,5.5,9.2,48,175
48177,"Gonzales County, Texas",38.8,59355,158900,47.0,0.5,3.1,0.2,49.2,41.0,6.0,1.4,12.6,77.0,1.4,14.5,48,177
48179,"Gray County, Texas",36.8,56082,100400,27.5,0.2,3.1,0.0,69.2,60.6,4.4,3.1,15.4,84.8,5.3,16.3,48,179
48181,"Grayson County, Texas",39.4,70455,228300,13.2,0.2,2.3,0.1,84.1,72.0,5.3,3.1,23.7,90.5,3.6,11.1,48,181
48183,"Gregg County, Texas",35.9,64809,185800,17.8,0.2,1.7,0.1,80.2,55.3,19.2,1.9,22.4,86.8,3.7,17.0,48,183
48185,"Grimes County, Texas",40.5,67080,226600,23.1,0.1,2.1,0.0,74.7,56.8,11.5,3.7,19.5,81.9,4.6,13.3,48,185
48187,"Guadalupe County, Texas",37.5,93776,285900,32.3,1.4,4.6,0.3,61.5,48.0,7.3,2.1,30.9,89.3,4.4,8.8,48,187
48189,"Hale County, Texas",34.1,52788,106100,50.8,0.7,9.2,0.1,39.2,32.1,4.0,3.0,15.6,75.1,4.1,19.0,48,189
48191,"Hall County, Texas",44.9,46728,80200,25.3,0.0,9.2,0.0,65.5,54.5,5.0,5.9,17.8,83.3,9.3,16.4,48,191
48193,"Hamilton County, Texas",43.8,55339,124800,13.2,0.0,0.4,0.0,86.4,82.9,1.9,1.2,24.3,88.3,6.1,18.4,48,193
48195,"Hansford County, Texas",35.9,68299,132100,46.9,1.3,1.5,0.0,50.3,47.7,0.2,2.3,30.4,74.6,5.5,7.8,48,195
48197,"Hardeman County, Texas",44.3,61179,76500,20.6,2.0,2.8,1.5,73.1,65.5,3.4,6.3,15.0,85.7,1.6,12.8,48,197
48199,"Hardin County, Texas",39.3,72532,188200,4.6,0.2,1.7,0.0,93.5,83.3,5.6,1.7,20.8,89.9,5.2,12.3,48,199
48201,"Harris County, Texas",34.4,73104,255000,29.6,0.8,12.0,0.9,56.6,27.4,18.7,2.1,33.7,82.5,6.4,15.9,48,201
48203,"Harrison County, Texas",38.9,66040,178200,13.5,0.1,1.0,0.0,85.4,60.7,20.4,1.8,22.5,89.2,6.0,17.4,48,203
48205,"Hartley County, Texas",39.5,82122,213200,28.6,0.3,1.8,0.0,69.3,56.8,6.7,2.2,23.1,83.1,2.4,6.8,48,205
48207,"Haskell County, Texas",44.3,54044,92000,22.8,0.5,2.7,0.0,74.0,66.1,5.9,2.7,22.5,83.3,5.4,14.2,48,207
48209,"Hays County, Texas",33.9,85827,371400,32.6,0.8,5.4,0.2,60.9,51.3,3.8,2.5,41.9,91.5,4.6,12.0,48,209
48211,"Hemphill County, Texas",41.3,72052,214900,32.4,0.0,0.8,0.0,66.8,63.2,0.3,1.3,24.4,84.5,4.8,3.5,48,211
48213,"Henderson County, Texas",43.8,63955,189600,12.7,0.2,1.3,0.1,85.7,75.2,5.3,2.1,20.2,87.5,5.0,14.2,48,213
48215,"Hidalgo County, Texas",30.3,52281,124000,87.6,0.3,3.9,0.1,8.1,6.1,0.5,0.8,20.3,69.3,7.6,27.2,48,215
48217,"Hill County, Texas",40.8,63147,163100,20.7,0.3,1.5,0.1,77.4,68.2,5.7,1.9,18.5,86.9,4.2,14.2,48,217
48219,"Hockley County, Texas",35.8,54810,112700,44.3,0.1,5.2,0.0,50.4,44.9,2.8,1.7,18.3,79.9,4.9,12.6,48,219
48221,"Hood County, Texas",46.3,86802,281300,11.2,0.4,1.6,0.2,86.7,81.1,1.0,1.4,32.4,92.3,6.2,8.2,48,221
48223,"Hopkins County, Texas",39.6,64725,193200,16.7,0.1,1.2,0.1,81.8,71.2,7.1,1.7,20.0,84.6,4.5,12.3,48,223
48225,"Houston County, Texas",44.0,54563,155100,12.1,0.3,1.6,0.0,86.0,58.6,21.5,3.2,15.5,82.7,6.6,16.3,48,225
48227,"Howard County, Texas",37.0,71457,150300,38.4,0.7,7.2,0.6,53.1,44.0,4.9,1.6,15.3,81.2,5.0,15.1,48,227
48229,"Hudspeth County, Texas",33.2,39336,57400,56.6,1.0,7.9,0.0,34.5,29.9,0.8,5.1,12.4,59.9,11.9,19.0,48,229
48231,"Hunt County, Texas",37.2,70112,210900,17.6,0.5,2.1,0.3,79.4,66.5,7.7,2.2,21.9,86.3,5.5,12.4,48,231
48233,"Hutchinson County, Texas",38.1,65470,102200,21.9,0.1,2.4,0.1,75.5,68.1,2.4,5.0,16.0,85.8,2.3,11.6,48,233
48235,"Irion County, Texas",50.5,58125,152600,29.9,0.0,0.0,0.0,70.1,69.0,0.0,0.3,22.1,89.2,0.6,7.5,48,235
48237,"Jack County, Texas",41.3,65693,174800,15.9,0.3,1.7,0.5,81.6,75.6,3.4,2.0,15.6,80.2,9.8,13.5,48,237
48239,"Jackson County, Texas",42.1,61752,175500,30.4,0.0,2.4,0.0,67.2,57.7,5.9,1.1,15.9,83.0,5.5,14.1,48,239
48241,"Jasper County, Texas",42.5,49919,125900,5.8,0.0,1.0,0.0,93.1,73.7,15.4,1.1,12.6,88.3,14.0,22.2,48,241
48243,"Jeff Davis County, Texas",58.7,32625,234400,30.2,0.0,0.9,0.0,69.0,66.7,0.6,2.2,30.4,86.7,0.0,31.2,48,243
48245,"Jefferson County, Texas",37.1,59934,159600,18.6,0.4,4.2,0.3,76.5,37.4,32.9,1.3,19.4,84.9,5.5,18.8,48,245
48247,"Jim Hogg County, Texas",25.0,42230,125600,76.4,0.0,1.9,0.0,21.7,21.3,0.1,0.0,19.0,78.8,8.4,31.4,48,247
48249,"Jim Wells County, Texas",35.5,47492,104800,72.8,0.1,6.5,0.0,20.6,18.5,0.6,1.3,15.2,79.2,5.6,23.2,48,249
